,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
110,12AM,10/12/2021,Cherry-12th,RPZ 2,36814,E JEFFERSON ST BETWEEN 17TH AVE AND 18TH AVE,S,2,0,0,2,0,0,,
129,1PM,10/12/2021,Cherry-12th,RPZ 2,36814,E JEFFERSON ST BETWEEN 17TH AVE AND 18TH AVE,S,2,0,0,4,0,0,,
148,2PM,10/12/2021,Cherry-12th,RPZ 2,36814,E JEFFERSON ST BETWEEN 17TH AVE AND 18TH AVE,S,4,0,0,2,0,0,,
167,3PM,10/12/2021,Cherry-12th,RPZ 2,36814,E JEFFERSON ST BETWEEN 17TH AVE AND 18TH AVE,S,3,0,0,2,0,0,,
186,4PM,10/12/2021,Cherry-12th,RPZ 2,36814,E JEFFERSON ST BETWEEN 17TH AVE AND 18TH AVE,S,3,0,0,2,0,0,,
205,5PM,10/12/2021,Cherry-12th,RPZ 2,36814,E JEFFERSON ST BETWEEN 17TH AVE AND 18TH AVE,S,0,0,0,1,0,0,,
34,6PM,10/12/2021,Cherry-12th,RPZ 2,36814,E JEFFERSON ST BETWEEN 17TH AVE AND 18TH AVE,S,0,0,0,1,0,0,,
53,7PM,10/12/2021,Cherry-12th,RPZ 2,36814,E JEFFERSON ST BETWEEN 17TH AVE AND 18TH AVE,S,0,0,0,1,0,0,,
16,09AM,10/12/2021,Cherry-12th,RPZ 2,70501,18TH AVE BETWEEN E JEFFERSON ST AND E CHERRY ST,W,5,2,0,9,0,0,,"https://idax.blob.core.windows.net/images/520c8d71-d970-45f2-877a-d722860fc216-mobile.jpg,https://idax.blob.core.windows.net/images/1edf1863-291b-4a3b-9237-ac25f088b0d3-mobile.jpg,https://idax.blob.core.windows.net/images/2d9bf414-b026-4765-8dc4-35b36a5f2c5a-mobile.jpg,https://idax.blob.core.windows.net/images/d7b24c34-c51f-4d80-b40b-ff61bc7d103b-mobile.jpg"
73,10AM,10/12/2021,Cherry-12th,RPZ 2,70501,18TH AVE BETWEEN E JEFFERSON ST AND E CHERRY ST,W,6,1,0,10,0,0,,
92,11AM,10/12/2021,Cherry-12th,RPZ 2,70501,18TH AVE BETWEEN E JEFFERSON ST AND E CHERRY ST,W,3,3,0,12,0,0,,
111,12AM,10/12/2021,Cherry-12th,RPZ 2,70501,18TH AVE BETWEEN E JEFFERSON ST AND E CHERRY ST,W,2,3,0,13,0,0,,
130,1PM,10/12/2021,Cherry-12th,RPZ 2,70501,18TH AVE BETWEEN E JEFFERSON ST AND E CHERRY ST,W,4,1,0,13,0,0,1 paid count is load/paid, previous hourly runs today have paid/load doors counted as load
149,2PM,10/12/2021,Cherry-12th,RPZ 2,70501,18TH AVE BETWEEN E JEFFERSON ST AND E CHERRY ST,W,5,1,0,10,0,0,,
168,3PM,10/12/2021,Cherry-12th,RPZ 2,70501,18TH AVE BETWEEN E JEFFERSON ST AND E CHERRY ST,W,4,0,0,9,0,0,,
187,4PM,10/12/2021,Cherry-12th,RPZ 2,70501,18TH AVE BETWEEN E JEFFERSON ST AND E CHERRY ST,W,6,1,0,6,0,0,,
206,5PM,10/12/2021,Cherry-12th,RPZ 2,70501,18TH AVE BETWEEN E JEFFERSON ST AND E CHERRY ST,W,5,0,0,3,0,0,,
35,6PM,10/12/2021,Cherry-12th,RPZ 2,70501,18TH AVE BETWEEN E JEFFERSON ST AND E CHERRY ST,W,7,0,0,2,0,0,,
54,7PM,10/12/2021,Cherry-12th,RPZ 2,70501,18TH AVE BETWEEN E JEFFERSON ST AND E CHERRY ST,W,12,0,0,2,0,0,,
