,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
138,11AM,10/8/2021,SLUNorth-West,NO RPZ,13262,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,S,8,0,0,0,0,0,,
192,12PM,10/8/2021,SLUNorth-West,NO RPZ,13262,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,S,6,0,0,0,0,0,,
246,1PM,10/8/2021,SLUNorth-West,NO RPZ,13262,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,S,6,0,0,0,0,0,,
300,2PM,10/8/2021,SLUNorth-West,NO RPZ,13262,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,S,4,1,0,0,0,0,,
354,3PM,10/8/2021,SLUNorth-West,NO RPZ,13262,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,S,3,0,0,0,0,0,,
408,4PM,10/8/2021,SLUNorth-West,NO RPZ,13262,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,S,2,0,0,0,0,0,,
462,5PM,10/8/2021,SLUNorth-West,NO RPZ,13262,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,S,2,0,0,0,0,0,,
4,09AM,10/8/2021,SLUNorth-East,NO RPZ,14601,E NELSON PL BETWEEN EASTLAKE AVE E AND DEAD END,NE,0,0,0,0,0,0,no parking; construction,
58,10AM,10/8/2021,SLUNorth-East,NO RPZ,14601,E NELSON PL BETWEEN EASTLAKE AVE E AND DEAD END,NE,0,0,0,0,0,0,no parking; construction,
112,11AM,10/8/2021,SLUNorth-East,NO RPZ,14601,E NELSON PL BETWEEN EASTLAKE AVE E AND DEAD END,NE,0,0,0,0,0,0,no parking construction,
166,12PM,10/8/2021,SLUNorth-East,NO RPZ,14601,E NELSON PL BETWEEN EASTLAKE AVE E AND DEAD END,NE,0,0,0,0,0,0,no parking; construction,
220,1PM,10/8/2021,SLUNorth-East,NO RPZ,14601,E NELSON PL BETWEEN EASTLAKE AVE E AND DEAD END,NE,0,0,0,0,0,0,no parking; construction,
274,2PM,10/8/2021,SLUNorth-East,NO RPZ,14601,E NELSON PL BETWEEN EASTLAKE AVE E AND DEAD END,NE,0,0,0,0,0,0,no parking; construction,
328,3PM,10/8/2021,SLUNorth-East,NO RPZ,14601,E NELSON PL BETWEEN EASTLAKE AVE E AND DEAD END,NE,0,0,0,0,0,0,no parking; construction,
382,4PM,10/8/2021,SLUNorth-East,NO RPZ,14601,E NELSON PL BETWEEN EASTLAKE AVE E AND DEAD END,NE,0,0,0,0,0,0,no parking; construction,
436,5PM,10/8/2021,SLUNorth-East,NO RPZ,14601,E NELSON PL BETWEEN EASTLAKE AVE E AND DEAD END,NE,0,0,0,0,0,0,no parking; construction,
49,09AM,10/8/2021,SLUNorth-West,NO RPZ,31593,ALOHA ST BETWEEN 8TH AVE N AND 9TH AVE N,N,15,0,0,0,0,0,,
103,10AM,10/8/2021,SLUNorth-West,NO RPZ,31593,ALOHA ST BETWEEN 8TH AVE N AND 9TH AVE N,N,14,0,0,0,0,0,,
157,11AM,10/8/2021,SLUNorth-West,NO RPZ,31593,ALOHA ST BETWEEN 8TH AVE N AND 9TH AVE N,N,14,0,0,0,0,0,,
211,12PM,10/8/2021,SLUNorth-West,NO RPZ,31593,ALOHA ST BETWEEN 8TH AVE N AND 9TH AVE N,N,15,0,0,0,0,0,,
265,1PM,10/8/2021,SLUNorth-West,NO RPZ,31593,ALOHA ST BETWEEN 8TH AVE N AND 9TH AVE N,N,10,0,0,0,0,0,,
319,2PM,10/8/2021,SLUNorth-West,NO RPZ,31593,ALOHA ST BETWEEN 8TH AVE N AND 9TH AVE N,N,5,0,0,0,0,0,,
