,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
42,08AM,4/28/2022,SLUNorthMid,NO RPZ,31593,ALOHA ST BETWEEN 8TH AVE N AND 9TH AVE N,N,14,0,0,1,0,0,,
59,09AM,4/28/2022,SLUNorthMid,NO RPZ,31593,ALOHA ST BETWEEN 8TH AVE N AND 9TH AVE N,N,14,0,0,1,0,0,,
76,10AM,4/28/2022,SLUNorthMid,NO RPZ,31593,ALOHA ST BETWEEN 8TH AVE N AND 9TH AVE N,N,15,0,0,1,0,0,,
93,11AM,4/28/2022,SLUNorthMid,NO RPZ,31593,ALOHA ST BETWEEN 8TH AVE N AND 9TH AVE N,N,15,0,0,1,0,0,,
110,12PM,4/28/2022,SLUNorthMid,NO RPZ,31593,ALOHA ST BETWEEN 8TH AVE N AND 9TH AVE N,N,14,0,0,1,0,0,,
127,1PM,4/28/2022,SLUNorthMid,NO RPZ,31593,ALOHA ST BETWEEN 8TH AVE N AND 9TH AVE N,N,12,0,0,1,0,0,,
144,2PM,4/28/2022,SLUNorthMid,NO RPZ,31593,ALOHA ST BETWEEN 8TH AVE N AND 9TH AVE N,N,5,0,0,0,0,0,,
161,3PM,4/28/2022,SLUNorthMid,NO RPZ,31593,ALOHA ST BETWEEN 8TH AVE N AND 9TH AVE N,N,3,0,0,0,0,0,,
178,4PM,4/28/2022,SLUNorthMid,NO RPZ,31593,ALOHA ST BETWEEN 8TH AVE N AND 9TH AVE N,N,8,0,0,0,0,0,,
210,5PM,4/28/2022,SLUNorthMid,NO RPZ,31593,ALOHA ST BETWEEN 8TH AVE N AND 9TH AVE N,N,11,0,0,0,0,0,,
223,08AM,4/28/2022,SLUNorthW,NO RPZ,32913,DEXTER AVE N BETWEEN LEE ST AND GALER ST,W,0,0,0,0,0,0,temp no parking; construction ,https://idax.blob.core.windows.net/images/7583169f-2959-4309-af86-a2955c2463a5-mobile.jpg
244,09AM,4/28/2022,SLUNorthW,NO RPZ,32913,DEXTER AVE N BETWEEN LEE ST AND GALER ST,W,0,0,0,0,0,0,construction,
265,10AM,4/28/2022,SLUNorthW,NO RPZ,32913,DEXTER AVE N BETWEEN LEE ST AND GALER ST,W,0,0,0,0,0,0,construction,
286,11AM,4/28/2022,SLUNorthW,NO RPZ,32913,DEXTER AVE N BETWEEN LEE ST AND GALER ST,W,0,0,0,0,0,0,construction,
307,12PM,4/28/2022,SLUNorthW,NO RPZ,32913,DEXTER AVE N BETWEEN LEE ST AND GALER ST,W,0,0,0,0,0,0,construction,
