,Time,Date,Route,Block ID,Element Key,Location,Side of Street,Paid,Load Zone,RPZ,ADA,Rideshare Vehicle,Notes,Picture
589,1800,30-09-2021,PPNorth,,37181,E PINE ST BETWEEN HARVARD AVE AND BROADWAY,N,3,0,0,0,0,,
607,1900,30-09-2021,PPNorth,,37181,E PINE ST BETWEEN HARVARD AVE AND BROADWAY,N,3,0,0,0,0,,
625,2000,30-09-2021,PPNorth,,37181,E PINE ST BETWEEN HARVARD AVE AND BROADWAY,N,4,0,0,0,0,,
643,2100,30-09-2021,PPNorth,,37181,E PINE ST BETWEEN HARVARD AVE AND BROADWAY,N,2,0,0,0,0,,
969,900,30-09-2021,PPEast,8,37185,E PINE ST BETWEEN BROADWAY AND NAGLE PL,N,0,0,0,0,0,,
993,1000,30-09-2021,PPEast,8,37185,E PINE ST BETWEEN BROADWAY AND NAGLE PL,N,0,0,0,0,0,,
1017,1100,30-09-2021,PPEast,8,37185,E PINE ST BETWEEN BROADWAY AND NAGLE PL,N,1,0,0,0,0,,
1041,1200,30-09-2021,PPEast,8,37185,E PINE ST BETWEEN BROADWAY AND NAGLE PL,N,1,1,0,0,0,,
1065,1300,30-09-2021,PPEast,8,37185,E PINE ST BETWEEN BROADWAY AND NAGLE PL,N,0,1,0,0,0,,
1089,1400,30-09-2021,PPEast,8,37185,E PINE ST BETWEEN BROADWAY AND NAGLE PL,N,2,0,0,0,0,,
1113,1500,30-09-2021,PPEast,8,37185,E PINE ST BETWEEN BROADWAY AND NAGLE PL,N,2,0,0,0,0,,
1162,1600,30-09-2021,PPEast,8,37185,E PINE ST BETWEEN BROADWAY AND NAGLE PL,N,2,0,0,0,0,,
1186,1700,30-09-2021,PPEast,8,37185,E PINE ST BETWEEN BROADWAY AND NAGLE PL,N,2,0,0,0,0,,
1210,1800,30-09-2021,PPEast,8,37185,E PINE ST BETWEEN BROADWAY AND NAGLE PL,N,1,0,0,0,0,,
